plot_id,pixel_count,ndvi_mean,ndvi_std,ndvi_min,ndvi_max
plot_1,13179184,0.8900339007377625,0.09076166152954102,0.40000060200691223,0.9875840544700623
plot_2,190,0.4188076853752136,0.012175840325653553,0.4001562297344208,0.45408883690834045
plot_3,117,0.43302422761917114,0.03655705600976944,0.40168261528015137,0.5500195026397705
plot_4,56,0.41526514291763306,0.011660097166895866,0.4001941680908203,0.4441910684108734
plot_5,101,0.4133923649787903,0.009233021177351475,0.40005603432655334,0.4410085678100586
plot_6,51,0.4264969229698181,0.01676860824227333,0.40043893456459045,0.45895010232925415
plot_7,94,0.4253227710723877,0.015534820966422558,0.40042614936828613,0.4614042341709137
plot_8,66,0.42844972014427185,0.02252931520342827,0.4002242088317871,0.4932483434677124
plot_9,51,0.4493069648742676,0.06033793091773987,0.4020693898200989,0.6545700430870056
plot_10,193,0.42628535628318787,0.020748356357216835,0.40005791187286377,0.4894354045391083
plot_11,76,0.4217280447483063,0.013841557316482067,0.4001849591732025,0.45107606053352356
plot_12,58,0.4208622872829437,0.017752520740032196,0.400096595287323,0.4665563404560089
plot_13,79,0.4238375425338745,0.01577002741396427,0.4006820023059845,0.4683370292186737
plot_14,54,0.4213559925556183,0.01622438058257103,0.4001799523830414,0.47180983424186707
plot_15,190,0.43148019909858704,0.023960622027516365,0.4004453420639038,0.4928874373435974
plot_16,54,0.4140649735927582,0.011158308014273643,0.4000248908996582,0.4440615177154541
plot_17,80,0.4261046350002289,0.02187437005341053,0.4002264142036438,0.47141408920288086
plot_18,66,0.42716163396835327,0.0174868181347847,0.40023088455200195,0.46414482593536377
plot_19,66,0.4216454029083252,0.01464031357318163,0.4004231095314026,0.458655446767807
plot_20,81,0.43163129687309265,0.020708873867988586,0.40024518966674805,0.4772149324417114
plot_21,54,0.42427197098731995,0.019007163122296333,0.4002492427825928,0.46459004282951355
plot_22,62,0.42540156841278076,0.019569069147109985,0.4003690779209137,0.46746626496315
plot_23,85,0.425703763961792,0.018003521487116814,0.4002656042575836,0.483745813369751
plot_24,645,0.4203261435031891,0.014105457812547684,0.4000017046928406,0.483745813369751
plot_25,51,0.42556032538414,0.016419818624854088,0.400828093290329,0.46289587020874023
plot_26,71,0.41412830352783203,0.009543308056890965,0.40017879009246826,0.44103050231933594
plot_27,55,0.4263170063495636,0.017742596566677094,0.40017184615135193,0.4651944041252136
plot_28,79,0.41313087940216064,0.008625095710158348,0.4000960886478424,0.4383803904056549
plot_29,225,0.4755076766014099,0.08675883710384369,0.40005603432655334,0.7077308297157288
plot_30,74,0.4145820736885071,0.013698142021894455,0.40009090304374695,0.4660583734512329
plot_31,82,0.41948896646499634,0.012503928504884243,0.4014309048652649,0.447498083114624
plot_32,52,0.44027748703956604,0.03947184979915619,0.40004029870033264,0.5614907145500183
plot_33,80,0.45537614822387695,0.0706629753112793,0.4002903699874878,0.6810652613639832
plot_34,60,0.526868999004364,0.0893644243478775,0.40254533290863037,0.6977123022079468
plot_35,59,0.41731730103492737,0.011958877556025982,0.4001123905181885,0.44737356901168823
plot_36,118,0.42706695199012756,0.016200533136725426,0.40218639373779297,0.4666145443916321
plot_37,66,0.424825519323349,0.01534301321953535,0.400524377822876,0.4582286477088928
plot_38,91,0.41776198148727417,0.010592087171971798,0.4001736342906952,0.4493131935596466
plot_39,92,0.4222981631755829,0.018038952723145485,0.4007903039455414,0.4714428186416626
plot_40,61,0.4251757860183716,0.015949048101902008,0.4006502032279968,0.4718010723590851
plot_41,85,0.4210416078567505,0.014725115150213242,0.4002753496170044,0.4678897559642792
plot_42,56,0.42082738876342773,0.010564343072474003,0.4034114181995392,0.452176570892334
plot_43,58,0.41966015100479126,0.012122354470193386,0.40120038390159607,0.44871631264686584
plot_44,74,0.40888169407844543,0.006680671591311693,0.4002360999584198,0.42998212575912476
plot_45,59,0.4120722711086273,0.007335307076573372,0.4002552032470703,0.4277876615524292
plot_46,64,0.4171416759490967,0.015402181074023247,0.4003451466560364,0.46158555150032043
plot_47,55,0.41284963488578796,0.008935833349823952,0.40045300126075745,0.4395175874233246
plot_48,63,0.42920127511024475,0.01828756555914879,0.4038572609424591,0.4744671881198883
plot_49,88,0.4181010127067566,0.010764329694211483,0.4012317955493927,0.4417879283428192
plot_50,74,0.4166564345359802,0.011472545564174652,0.40012070536613464,0.4486818313598633
plot_51,52,0.4187822937965393,0.016445090994238853,0.40018588304519653,0.46148765087127686
plot_52,171,0.42704880237579346,0.020366156473755836,0.400033563375473,0.4861171543598175
plot_53,50,0.413303405046463,0.008764650672674179,0.40150243043899536,0.4357129633426666
plot_54,88,0.4104035496711731,0.00705035962164402,0.4000207483768463,0.4321242868900299
plot_55,53,0.4247299134731293,0.014809392392635345,0.40054652094841003,0.45030102133750916
plot_56,53,0.41535812616348267,0.00957547314465046,0.40011441707611084,0.445762038230896
plot_57,52,0.4199783205986023,0.015983566641807556,0.40010637044906616,0.4577043056488037
plot_58,72,0.4112180173397064,0.009530807845294476,0.4002052843570709,0.4367639124393463
plot_59,70,0.42378294467926025,0.017058808356523514,0.40031561255455017,0.4768860638141632
plot_60,67,0.4174676239490509,0.012535459361970425,0.4011506140232086,0.44738495349884033
plot_61,92,0.4237797260284424,0.01661887764930725,0.40111467242240906,0.46052056550979614
plot_62,69,0.5133918523788452,0.07789447158575058,0.4003192186355591,0.6935759782791138
plot_63,71,0.42725807428359985,0.01928018219769001,0.40010133385658264,0.46585813164711
plot_64,52,0.42425400018692017,0.015844963490962982,0.40074601769447327,0.46758610010147095
plot_65,57,0.41635915637016296,0.013999867253005505,0.40013882517814636,0.45005539059638977
plot_66,57,0.4162663519382477,0.010528415441513062,0.4008064866065979,0.44135400652885437
plot_67,67,0.4560176730155945,0.0577286034822464,0.4004223644733429,0.6280398368835449
plot_68,151,0.4137752056121826,0.009685509838163853,0.40012669563293457,0.4428243637084961
plot_69,82,0.4144649803638458,0.013440917246043682,0.4002584218978882,0.4749172627925873
plot_70,58,0.410009503364563,0.007201485335826874,0.40022313594818115,0.43041175603866577
plot_71,181,0.42644810676574707,0.020672166720032692,0.4002548158168793,0.4728258550167084
plot_72,259,0.48423638939857483,0.0797455906867981,0.40007442235946655,0.753609299659729
plot_73,69,0.5018712282180786,0.08258597552776337,0.400418221950531,0.6791467070579529
plot_74,273,0.4394576847553253,0.04169616475701332,0.40014970302581787,0.6309551000595093
